laAccount,laRegisteredAtSlotNo,laUnregisteredAtSlotNo,laStakePoolDelegation,laDRepDelegation,laLastDelegationSlotNo,laLastWithdrawalSlotNo,laLastAddressOwnerActivitySlotNo,laLastAddressActivitySlotNo,laCurrentStake,laCurrentRewards
keyHash-dc016e3838465e5e4d1cda28fafbedd0366ab1cbe6fc64a6a3dc04de,148735033,,,drep-keyHash-9f5901807df95dab4887616df7b03b25c57e117deea83db70c9f1594,148735033,,149602572,149602572,0.000000,0.000000
keyHash-dc053c997e50a35b235fa9711f46d5eb05a42f617407c7c1d1b26d1d,148411807,,120ccc012f6b2ef1669acb15d2499cc9a226b6374184d1e322b1aa5f,drep-alwaysAbstain,148411807,,148411807,148411807,0.000000,0.000000
keyHash-dc0b2240e9ac79eb6c6037197017098fd78a6d2229750625bafdf1d1,149205608,,c726c9da5615d5f9f6858c25bb13f81c4741eccd08ce32f3414f323f,,149205608,,149205608,149205608,0.000000,0.000000
keyHash-dc112c0e993e2ee315c8c612d05ff7b16b43417e5c365043168293db,149999889,,8efb053977341471256685b1069d67f4aca7166bc3f94e27ebad217f,,149999889,,149999889,149999889,0.000000,0.000000
keyHash-dc12ec92575186d436a643b9037bc6e89e2652e19acf2525b4dcae2b,149540114,,ac2d2d66a30cbb3163e68a7073bcd3f9cdd4a11a8af6e2c5653402c7,drep-alwaysAbstain,149540114,,149540114,149540114,0.000000,0.000000
keyHash-dc17d045a01365bf51ff227f57be9c9872af42aff9e0c71783ff0416,149274078,,ff069b3ecf738d4adfe83f7c20c64b82f94f7285ee41eedb2bfd297b,drep-keyHash-228fabcdd2b1a034554a7a42dadc591d6540ce542ec0d7a734a197b1,149847971,,149890760,149890940,0.000000,0.000000
keyHash-dc21a57a7d70efbb548acd08da2e1df38e1d15bd0ceed7220e7f6c1b,149381443,,f3efb842c77895dde51e95e54d9c309da599631ef31216bcfea11083,drep-alwaysAbstain,149381443,,149381443,149381443,0.000000,0.000000
keyHash-dc2bd5a6bb20eb6bb88f73fc2c44a0b49dd2e281dd2ddc1f450c8b9c,148206794,,c726c9da5615d5f9f6858c25bb13f81c4741eccd08ce32f3414f323f,,148206794,,148206794,148206794,0.000000,0.000000
keyHash-dc3118fb4495d51a5ccfe09116a77f6cf9bbaea062c392d84f71fe56,148659164,,000000f66e28b0f18aef20555f4c4954234e3270dfbbdcc13f54e799,,148659164,,148983578,148909367,0.000000,0.000000
keyHash-dc424ce7e94238bb56295221622c3a35f857f3a58cf69a97e3b9383b,149526788,,120ccc012f6b2ef1669acb15d2499cc9a226b6374184d1e322b1aa5f,drep-alwaysAbstain,149526947,,149526947,149526947,0.000000,0.000000
